title,year_of_release,duration_in_minutes,genre,tomato_score,pop_score
Shawshank_Redemption,1994,142,Drama,91,98
Godfather,1972,175,"Crime, Drama",97,98
the_Dark_Knight,2008,152,"Action, Crime, Drama",94,94
Godfather_Part_II,1974,202,"Crime, Drama",96,97
12_Angry_Men,1957,96,"Crime, Drama",Not found,Not found
the_lord_of_the_rings_the_return_of_the_king,2003,201,"Action, Adventure, Drama",93,86
Pulp_Fiction,1994,154,"Crime, Drama",92,96
Schindlers_List,1993,195,"Biography, Drama, History",98,97
Inception,2010,148,"Action, Adventure, Sci-Fi",87,91
Fight_Club,1999,139,Drama,79,96
the_lord_of_the_rings_the_fellowship_of_the_ring,2001,178,"Action, Adventure, Drama",91,95
Forrest_Gump,1994,142,"Drama, Romance",71,95
Good_the_Bad_and_the_Ugly,1966,178,Western,97,97
Lord_of_the_Rings_Two_Towers,2002,179,"Action, Adventure, Drama",Not found,Not found
Matrix,1999,136,"Action, Sci-Fi",88,85
Goodfellas,1990,146,"Biography, Crime, Drama",96,97
Star_Wars_Episode_V__Empire_Strikes_Back,1980,124,"Action, Adventure, Fantasy",Not found,Not found
One_Flew_Over_the_Cuckoos_Nest,1975,133,Drama,94,96
Parasite,2019,132,"Comedy, Drama, Thriller",,
Interstellar,2014,169,"Adventure, Drama, Sci-Fi",72,86
City_of_God,2002,130,"Crime, Drama",91,97
Spirited_Away,2001,125,"Animation, Adventure, Family",97,96
Saving_Private_Ryan,1998,169,"Drama, War",93,95
Green_Mile,1999,189,"Crime, Drama, Fantasy",78,94
Life_Is_Beautiful,1997,116,"Comedy, Drama, Romance",Not found,Not found
Se7en,1995,127,"Crime, Drama, Mystery",Not found,Not found
Silence_of_the_Lambs,1991,118,"Crime, Drama, Horror",96,95
Star_Wars_Episode_IV__A_New_Hope,1977,121,"Action, Adventure, Fantasy",Not found,Not found
HaraKiri,1962,133,"Action, Drama, Mystery",100,97
Seven_Samurai,1954,207,"Action, Adventure, Drama",Not found,Not found
Its_a_Wonderful_Life,1946,130,"Drama, Family, Fantasy",94,95
Whiplash,2014,106,"Drama, Music",Not found,Not found
Intouchables,2011,112,"Biography, Comedy, Drama",75,93
Prestige,2006,130,"Drama, Mystery, Sci-Fi",76,92
Departed,2006,151,"Crime, Drama, Thriller",90,94
Pianist,2002,150,"Biography, Drama, Music",95,96
Gladiator,2000,155,"Action, Adventure, Drama",77,87
American_History_X,1998,119,Drama,83,96
Usual_Suspects,1995,106,"Crime, Drama, Mystery",88,96
Léon_Professional,1994,110,"Action, Crime, Drama",Not found,Not found
Lion_King,1994,88,"Animation, Adventure, Drama",93,93
Terminator_2_Judgment_Day,1991,137,"Action, Sci-Fi",93,94
Cinema_Paradiso,1988,155,"Drama, Romance",90,97
Grave_of_the_Fireflies,1988,89,"Animation, Drama, War",100,95
Back_to_the_Future,1985,116,"Adventure, Comedy, Sci-Fi",96,94
Once_Upon_a_Time_in_the_West,1968,165,Western,95,95
Psycho,1960,109,"Horror, Mystery, Thriller",96,95
Pather_Panchali,1955,125,Drama,97,94
Rear_Window,1954,112,"Mystery, Thriller",98,95
Casablanca,1942,102,"Drama, Romance, War",Not found,Not found
Modern_Times,1936,87,"Comedy, Drama, Family",98,95
City_Lights,1931,87,"Comedy, Drama, Romance",98,96
Hamilton,2020,160,"Biography, Drama, History",Not found,Not found
Capernaum,2018,126,Drama,90,93
Joker,2019,122,"Crime, Drama, Thriller",,
Your_Name,2016,106,"Animation, Drama, Fantasy",Not found,Not found
Dangal,2016,161,"Action, Biography, Drama",88,94
SpiderMan_Into_the_SpiderVerse,2018,117,"Animation, Action, Adventure",Not found,Not found
Avengers_Endgame,2019,181,"Action, Adventure, Drama",94,90
Avengers_Infinity_War,2018,149,"Action, Adventure, Sci-Fi",85,91
Coco,I) (,105,"Animation, Adventure, Comedy",,
Django_Unchained,2012,165,"Drama, Western",87,91
the_Dark_Knight_Rises,2012,164,"Action, Crime",87,90
3_Idiots,2009,170,"Comedy, Drama",100,93
Like_Stars_on_Earth,2007,165,"Drama, Family",91,96
WALL·E,2008,98,"Animation, Adventure, Family",Not found,Not found
Lives_of_Others,2006,137,"Drama, Mystery, Thriller",Not found,Not found
Oldboy,2003,120,"Action, Drama, Mystery",81,94
Memento,2000,113,"Mystery, Thriller",93,94
Princess_Mononoke,1997,134,"Animation, Action, Adventure",Not found,Not found
Indiana_Jones_and_the_Raiders_of_the_Lost_Ark,1981,115,"Action, Adventure",95,96
Shining,1980,146,"Drama, Horror",84,93
Apocalypse_Now,1979,147,"Drama, Mystery, War",98,94
Alien,1979,117,"Horror, Sci-Fi",98,94
High_and_Low,1963,143,"Crime, Drama, Mystery",95,95
Dr_Strangelove_or_How_I_Learned_to_Stop_Worrying_and_Love_the_Bomb,1964,95,"Comedy, Drama, War",Not found,Not found
Witness_for_the_Prosecution,1957,116,"Crime, Drama, Mystery",100,95
Paths_of_Glory,1957,88,"Drama, War",95,95
Sunset_Blvd,1950,110,"Drama, Film-Noir",Not found,Not found
Great_Dictator,1940,125,"Comedy, Drama, War",93,95
1917,2019,119,"Action, Drama, War",Not found,Not found
Hunt,2012,115,Drama,,20
A_Separation,2011,123,Drama,Not found,Not found
Incendies,2010,131,"Drama, Mystery, War",92,92
Father,I) (,97,Drama,,
Inglourious_Basterds,2009,153,"Adventure, Drama, War",89,88
Eternal_Sunshine_of_the_Spotless_Mind,2004,108,"Drama, Romance, Sci-Fi",92,94
Amélie,2001,122,"Comedy, Romance",Not found,Not found
Snatch,2000,102,"Comedy, Crime",74,93
Requiem_for_a_Dream,2000,102,Drama,79,93
American_Beauty,1999,122,Drama,87,93
Good_Will_Hunting,1997,126,"Drama, Romance",98,94
Children_of_Heaven,1997,89,"Drama, Family, Sport",83,96
Toy_Story,1995,81,"Animation, Adventure, Comedy",100,92
Braveheart,1995,178,"Biography, Drama, History",Not found,Not found
Reservoir_Dogs,1992,99,"Crime, Drama, Thriller",92,94
Full_Metal_Jacket,1987,116,"Drama, War",92,94
Come_and_See,1985,142,"Drama, Thriller, War",Not found,Not found
Aliens,1986,137,"Action, Adventure, Sci-Fi",Not found,Not found
Once_Upon_a_Time_in_America,1984,229,"Crime, Drama",87,93
Amadeus,1984,160,"Biography, Drama, Music",93,95
Scarface,1983,170,"Crime, Drama",82,93
Star_Wars_Episode_VI__Return_of_the_Jedi,1983,131,"Action, Adventure, Fantasy",Not found,Not found
Das_Boot,1981,149,"Adventure, Drama, Thriller",98,95
Dersu_Uzala,1975,142,"Adventure, Biography, Drama",73,94
Sting,1973,129,"Comedy, Crime, Drama",Not found,Not found
A_Clockwork_Orange,1971,136,"Crime, Drama, Sci-Fi",Not found,Not found
2001_A_Space_Odyssey,1968,149,"Adventure, Sci-Fi",92,89
To_Kill_a_Mockingbird,1962,129,"Crime, Drama",93,92
Lawrence_of_Arabia,1962,228,"Adventure, Biography, Drama",93,93
Apartment,1960,125,"Comedy, Drama, Romance",Not found,Not found
North_by_Northwest,1959,136,"Adventure, Mystery, Thriller",97,94
Vertigo,1958,128,"Mystery, Romance, Thriller",94,93
Singin_in_the_Rain,1952,103,"Comedy, Musical, Romance",100,95
Ikiru,1952,143,Drama,98,97
Bicycle_Thieves,1948,89,Drama,98,94
Double_Indemnity,1944,107,"Crime, Drama, Film-Noir",97,95
Citizen_Kane,1941,119,"Drama, Mystery",99,90
M,1931,99,"Crime, Mystery, Thriller",Not found,Not found
Metropolis,1927,153,"Drama, Sci-Fi",Not found,Not found
Kid,1921,68,"Comedy, Drama, Family",Not found,Not found
Andhadhun,2018,139,"Crime, Drama, Music",100,91
Green_Book,2018,130,"Biography, Comedy, Drama",77,91
A_Silent_Voice_Movie,2016,130,"Animation, Drama",Not found,Not found
Klaus,2019,96,"Animation, Adventure, Comedy",94,96
Tangerines,2013,87,"Drama, War",88,89
Gangs_of_Wasseypur,2012,321,"Action, Comedy, Crime",97,90
Secret_in_Their_Eyes,2009,129,"Drama, Mystery, Romance",89,93
Dune,2021,155,"Action, Adventure, Drama",,75
Shutter_Island,2010,138,"Mystery, Thriller",Not found,Not found
Up,2009,96,"Animation, Adventure, Comedy",98,90
Wolf_of_Wall_Street,2013,180,"Biography, Comedy, Crime",Not found,Not found
My_Father_and_My_Son,2005,112,"Drama, Family",Not found,Not found
There_Will_Be_Blood,2007,158,Drama,91,86
Pans_Labyrinth,2006,118,"Drama, Fantasy, War",95,91
Toy_Story_3,2010,103,"Animation, Adventure, Comedy",98,90
Batman_Begins,2005,140,"Action, Adventure",84,94
Downfall,2004,156,"Biography, Drama, History",90,94
Howls_Moving_Castle,2004,119,"Animation, Adventure, Family",87,93
A_Beautiful_Mind,2001,135,"Biography, Drama",74,93
Lock_Stock_and_Two_Smoking_Barrels,1998,107,"Action, Comedy, Crime",75,93
LA_Confidential,1997,138,"Crime, Drama, Mystery",99,94
Bandit,1996,121,"Crime, Drama, Thriller",Not found,Not found
Heat,1995,170,"Crime, Drama, Thriller",Not found,Not found
Casino,1995,178,"Crime, Drama",,
Unforgiven,1992,130,"Drama, Western",,
Indiana_Jones_and_the_Last_Crusade,1989,127,"Action, Adventure",88,94
My_Neighbor_Totoro,1988,86,"Animation, Family, Fantasy",94,94
Die_Hard,1988,132,"Action, Thriller",94,94
Ran,1985,162,"Action, Drama, War",96,95
Raging_Bull,1980,129,"Biography, Drama, Sport",94,93
Autumn_Sonata,1978,99,"Drama, Music",86,92
Taxi_Driver,1976,114,"Crime, Drama",96,93
Monty_Python_and_the_Holy_Grail,1975,91,"Adventure, Comedy, Fantasy",97,95
